@id,wd:Q9439,full_coverage
p:P166{URIRef}[7],s:Q9439-7d0926a0-4aab-43e2-ee9f-e30a8e85f826,p:P166{URIRef}[7]
p:P166{URIRef}[8],s:Q9439-a05357ab-4136-bc12-1c4d-8bc53666484c,p:P166{URIRef}[8]
p:P166{URIRef}[9],s:Q9439-b08abc70-4e8c-2b4f-f8c4-36d29c07e634,p:P166{URIRef}[9]
p:P166{URIRef}[10],s:Q9439-d2944f57-48a7-0386-66d5-c9b377fc22d7,p:P166{URIRef}[10]
p:P166{URIRef}[11],s:Q9439-e952df5a-487c-dcbf-c5cc-2c739e1965b1,p:P166{URIRef}[11]
p:P166{URIRef}[12],s:Q9439-f1bc23d6-4597-0cb8-4522-f30bcf24ef30,p:P166{URIRef}[12]
p:P1695{URIRef},s:Q9439-e53de7d4-587c-404d-a6b1-97ac4bc6f9c7,p:P1695{URIRef}
p:P1711{URIRef},s:Q9439-417AD2E3-5B90-465C-841B-58813BF62771,p:P1711{URIRef}
p:P1741{URIRef},s:Q9439-8B1A9BDE-7A05-41D1-81FD-DE83D9D57E6A,p:P1741{URIRef}
p:P1795{URIRef},s:Q9439-95161673-E70D-4146-B5CA-36F65F698D1F,p:P1795{URIRef}
p:P18{URIRef},s:q9439-669AC713-5750-44EE-A61A-A16FE984D8A0,p:P18{URIRef}
p:P1816{URIRef},s:Q9439-CE2D015B-8331-4762-9587-45D0C10F045B,p:P1816{URIRef}
p:P1819{URIRef},s:Q9439-a5fe8beb-4a66-02b5-e034-6c3fdae2c480,p:P1819{URIRef}
p:P1830{URIRef}[0],s:Q9439-3011D690-FEB6-406D-AA45-7C21AEB2AE80,p:P1830{URIRef}[0]
p:P1830{URIRef}[1],s:Q9439-4B30310E-36BA-485E-BF33-B76063FF6C8D,p:P1830{URIRef}[1]
p:P1830{URIRef}[2],s:Q9439-CD882BB6-DF18-4251-9C20-E5F7AB81FE1F,p:P1830{URIRef}[2]
p:P1830{URIRef}[3],s:Q9439-EC534389-612A-415C-8095-0CACF99C06B7,p:P1830{URIRef}[3]
p:P1871{URIRef},s:Q9439-0DFE52D4-9F2D-4D47-B89E-083BE4F72025,p:P1871{URIRef}
p:P1899{URIRef},s:Q9439-2F665644-7FE5-4FFC-AAEC-C95D52BA03B5,p:P1899{URIRef}
p:P19{URIRef},s:q9439-6A546BBA-0A59-446D-882D-A8E3B68AC510,p:P19{URIRef}
p:P1938{URIRef},s:Q9439-610930E5-013F-4436-95E7-EC1D509D30AD,p:P1938{URIRef}
p:P20{URIRef},s:q9439-FD71E154-B88E-4282-AD8E-B11B70258A85,p:P20{URIRef}
p:P2011{URIRef},s:Q9439-E565746D-7580-4E30-BDE0-40BCA12DEBB0,p:P2011{URIRef}
p:P2041{URIRef},s:Q9439-256CED8C-BA43-422A-927C-25FD78EB3065,p:P2041{URIRef}
p:P21{URIRef},s:Q9439-9C094165-C7FB-4109-8F6B-9585C8EC1378,p:P21{URIRef}
p:P213{URIRef},s:Q9439-39B806EC-9380-4FA2-BCE5-B2BBEA7BC294,p:P213{URIRef}
p:P214{URIRef},s:q9439-6519DFFA-25D3-449D-9EC7-B51677ADED18,p:P214{URIRef}
p:P2163{URIRef},s:Q9439-A4FE5EC3-71F6-41DE-A294-59B088F4BFAE,p:P2163{URIRef}
p:P22{URIRef},s:q9439-D1D49D54-570C-4A3D-B27B-71B6D381D79B,p:P22{URIRef}
p:P227{URIRef},s:q9439-769A87B0-8DFE-49FD-ADD0-29BE1651D543,p:P227{URIRef}
p:P2354{URIRef},s:Q9439-4a9f8600-46fb-481b-503a-139b13bca235,p:P2354{URIRef}
p:P244{URIRef},s:q9439-DA8EF118-AE67-422C-940A-8F7CC3B7C683,p:P244{URIRef}
p:P245{URIRef},s:Q9439-F00EFA94-BCBB-4116-893E-E424A0D55C4F,p:P245{URIRef}
p:P25{URIRef},s:q9439-7B80DF1F-A7F4-49D5-B059-D6C5339BB056,p:P25{URIRef}
p:P2533{URIRef},s:Q9439-748BF6D0-9557-468D-95B0-4C93805A77D6,p:P2533{URIRef}
p:P26{URIRef},s:q9439-5630D91A-2415-45DA-B436-2BB61C37A4BA,p:P26{URIRef}
p:P2600{URIRef},s:Q9439-cbfac7e2-4393-acb7-ccd3-c9bff86909ca,p:P2600{URIRef}
p:P268{URIRef},s:Q9439-97fb8197-4a35-7e21-4b83-c762aacc657b,p:P268{URIRef}
p:P269{URIRef},s:Q9439-6A9549B1-7A21-4A94-8D71-084F338765E5,p:P269{URIRef}
p:P27{URIRef},s:Q9439-4808440C-5964-4B18-A3A0-20E92B66269E,p:P27{URIRef}
p:P271{URIRef},s:q9439-19c1f7f9-49c5-b436-c853-16a8475b4847,p:P271{URIRef}
p:P2843{URIRef},s:Q9439-0C7D7318-39B1-4324-8279-598336C3790A,p:P2843{URIRef}
p:P2889{URIRef},s:Q9439-5fc56a39-4071-a17b-3165-2b2f66e10f11,p:P2889{URIRef}
p:P2914{URIRef},s:Q9439-893691A8-9B3C-4903-AA0E-89E11534457E,p:P2914{URIRef}
p:P2924{URIRef},s:Q9439-AFA1FA63-AC42-454E-90F4-DAD204631797,p:P2924{URIRef}
p:P2949{URIRef},s:Q9439-b9b8eb84-439c-82b1-5647-05b57e06bfb4,p:P2949{URIRef}
p:P2950{URIRef},s:Q9439-71165CFF-7E2D-4035-8ECD-372BF59665C7,p:P2950{URIRef}
p:P2966{URIRef}[0],s:Q9439-072D2AED-04B2-4E08-8793-248F7B3D889B,p:P2966{URIRef}[0]
p:P2966{URIRef}[1],s:Q9439-2852BE94-47E0-4677-B566-90CF03C6E87A,p:P2966{URIRef}[1]
p:P2966{URIRef}[2],s:Q9439-52D5CD12-0AEA-450C-987A-83CE87B40F71,p:P2966{URIRef}[2]
p:P2966{URIRef}[3],s:Q9439-68C6C57B-09E2-4F0F-9F57-1851DD593FC7,p:P2966{URIRef}[3]
p:P2966{URIRef}[4],s:Q9439-6A433079-6DD6-4BBA-A992-A4ADE6A42FA8,p:P2966{URIRef}[4]
p:P2966{URIRef}[5],s:Q9439-71EA40E7-272D-4E6E-81C8-DBFD1E4C267C,p:P2966{URIRef}[5]
p:P2966{URIRef}[6],s:Q9439-78AB6146-117F-45E9-8D3B-7D29FE40DECB,p:P2966{URIRef}[6]
p:P2966{URIRef}[7],s:Q9439-90D73D47-A77F-459B-80F3-E6C6B951AC31,p:P2966{URIRef}[7]
p:P2966{URIRef}[8],s:Q9439-B6E21AA3-27F9-4673-930E-8579C928240A,p:P2966{URIRef}[8]
p:P2966{URIRef}[9],s:Q9439-C59AAF26-9F1F-465C-B0E9-984568792638,p:P2966{URIRef}[9]
p:P2966{URIRef}[10],s:Q9439-CB2BAFE7-7D19-4756-8ECD-C6987546E231,p:P2966{URIRef}[10]
p:P2966{URIRef}[11],s:Q9439-D7E48C5C-D3BD-49A1-8C5D-883B4BEFB650,p:P2966{URIRef}[11]
p:P2966{URIRef}[12],s:Q9439-DEF66667-165F-4AF5-A97B-E1DEFEA35084,p:P2966{URIRef}[12]
p:P2977{URIRef},s:Q9439-0C1952BE-911C-4C89-B9AE-C20FBDA4AD6B,p:P2977{URIRef}
p:P3029{URIRef},s:Q9439-D2DA8262-18F9-4761-BE61-393D46A3E8F7,p:P3029{URIRef}
p:P3051{URIRef},s:Q9439-4546064F-115E-4D92-9CDE-81E92A72065D,p:P3051{URIRef}
p:P31{URIRef},s:Q9439-6D414FB3-EE64-473E-89FD-08FF7E63FE2F,p:P31{URIRef}
p:P3219{URIRef},s:Q9439-15FBEB91-0FC7-48E1-AAE3-F6B5B413AB95,p:P3219{URIRef}
p:P3222{URIRef},s:Q9439-5dc444f0-4259-28f6-cd71-abfa529cc90b,p:P3222{URIRef}
p:P3280{URIRef},s:q9439-95188728-4a98-2c77-9c02-2a65aefed483,p:P3280{URIRef}
p:P3348{URIRef},s:Q9439-7BD4D573-2298-4C07-A02E-9542EB8A0C14,p:P3348{URIRef}
p:P3365{URIRef},s:Q9439-5b26a1ae-42a9-917c-6526-aab8b19d609d,p:P3365{URIRef}
p:P3368{URIRef},s:Q9439-F35B2B9B-BB1E-4BD5-9C8A-431B7DE32F8E,p:P3368{URIRef}
p:P3373{URIRef}[0],s:Q9439-1CD09EFD-5FEE-4427-BA55-AB44589BBDD5,p:P3373{URIRef}[0]
p:P3373{URIRef}[1],s:Q9439-FE17ADFE-84EA-4B9C-A6EA-D133A4D803E7,p:P3373{URIRef}[1]
p:P3417{URIRef},s:Q9439-5FB2738B-CFA0-445F-8F47-DF1534C311D6,p:P3417{URIRef}
p:P3430{URIRef}[0],s:Q9439-3FDC5ADC-A3CE-4505-B457-D0F7FB02330F,p:P3430{URIRef}[0]
p:P3430{URIRef}[1],s:Q9439-7D856711-844B-42C7-B2A1-0C36880B5150,p:P3430{URIRef}[1]
p:P345{URIRef}[0],s:Q9439-5C6F0D8E-4B8C-4D3A-9570-D291BD55C415,p:P345{URIRef}[0]
p:P345{URIRef}[1],s:Q9439-91fd6385-4499-039f-9e18-274a4e4ee3c3,p:P345{URIRef}[1]
p:P349{URIRef},s:q9439-31EFB77C-6510-43B9-A6EC-35F6BA2E91DF,p:P349{URIRef}
p:P3544{URIRef},s:Q9439-35271F41-E25C-4199-B46F-BCDD4DD07C96,p:P3544{URIRef}
p:P361{URIRef},s:Q9439-2CA0B41B-BDE6-4965-86D4-1A1A103DF32F,p:P361{URIRef}
p:P373{URIRef},s:q9439-AFB1FF05-11A2-4D35-87A2-514BCD214596,p:P373{URIRef}
p:P3762{URIRef},s:Q9439-3CAA90C8-0316-430F-8A82-2F4FB73922E8,p:P3762{URIRef}
p:P3782{URIRef},s:Q9439-2D94BC17-EDFE-4E02-A6AF-7432FDEEC4DC,p:P3782{URIRef}
p:P39{URIRef}[0],s:Q9439-1889ee3f-49aa-b2e0-a3d8-0e1fa387031d,p:P39{URIRef}[0]
p:P39{URIRef}[1],s:Q9439-b824fbfa-4fbb-9041-4048-656028d9b3a4,p:P39{URIRef}[1]
p:P396{URIRef},s:Q9439-B3403EFA-D627-4EF2-AAF8-F2D3338B7786,p:P396{URIRef}
p:P40{URIRef}[0],s:q9439-23EC5691-4CA8-45B1-BC20-780DC477B100,p:P40{URIRef}[0]
p:P40{URIRef}[1],s:q9439-43F33CEA-73B3-4836-A2D0-FFC0F31DDB77,p:P40{URIRef}[1]
p:P40{URIRef}[2],s:q9439-6343D41F-9B73-4639-9272-C984EA9BFF30,p:P40{URIRef}[2]
p:P40{URIRef}[3],s:q9439-6F108FFF-5359-4AB4-BB35-EFC3BA806304,p:P40{URIRef}[3]
p:P40{URIRef}[4],s:q9439-724B3F0E-CB7B-4008-AA5B-AB4A1BAF870E,p:P40{URIRef}[4]
p:P40{URIRef}[5],s:q9439-7B34FE1E-4E72-4F86-B756-BF2CEE06BC8E,p:P40{URIRef}[5]
p:P40{URIRef}[6],s:q9439-971DF665-F5B3-4DAC-B37F-DA09D6843C4C,p:P40{URIRef}[6]
p:P40{URIRef}[7],s:q9439-C4C1C436-ABDE-40AF-9F25-811F1467EE3E,p:P40{URIRef}[7]
p:P40{URIRef}[8],s:q9439-D802F91A-EE77-49D1-AAE8-8260BC0A2A08,p:P40{URIRef}[8]
p:P409{URIRef},s:Q9439-08889830-F1F6-4529-88A9-0AC93DA6409E,p:P409{URIRef}
p:P4145{URIRef},s:Q9439-04F3C2A1-C72C-4A2F-BED1-6DF3265EEFFB,p:P4145{URIRef}
p:P4159{URIRef},s:Q9439-6DD2CB1E-45B6-4E6E-8A88-19A8B880348C,p:P4159{URIRef}
p:P4169{URIRef},s:Q9439-37C66D9B-D572-4F5D-AF12-DC9F00DA3FC8,p:P4169{URIRef}
p:P4200{URIRef},s:Q9439-71297985-8832-4D58-8EA9-33B0E840F16F,p:P4200{URIRef}
p:P4223{URIRef},s:Q9439-8ff42ec7-4972-886e-e1f9-968560c713f2,p:P4223{URIRef}
p:P4293{URIRef},s:Q9439-DC3A0756-2CED-4475-AABA-5593D22203BA,p:P4293{URIRef}
p:P434{URIRef},s:Q9439-60CEBF54-01B4-47B5-B4DB-4C0F1CB3499D,p:P434{URIRef}
p:P4342{URIRef},s:Q9439-f91c5773-49cf-11e0-96de-752f5da51fe7,p:P4342{URIRef}
p:P4539{URIRef},s:Q9439-1142E98B-5ADF-485B-BCE7-345C096BEC7D,p:P4539{URIRef}
p:P4553{URIRef},s:Q9439-E2C37893-FC2D-4E45-B0F6-F75676957B3B,p:P4553{URIRef}
p:P4629{URIRef},s:Q9439-FC75071C-3029-43AE-983A-DB18F15D4481,p:P4629{URIRef}
p:P463{URIRef},s:q9439-16AB5A02-89E7-4F17-835A-896D2354FC2D,p:P463{URIRef}
p:P4638{URIRef},s:Q9439-EAEF5093-83D0-42C5-A7ED-2CEA921DB926,p:P4638{URIRef}
p:P4808{URIRef},s:Q9439-6C23C6FE-5A63-457B-B72D-2C8E84102457,p:P4808{URIRef}
p:P485{URIRef},s:Q9439-2AE62B82-7B88-415C-9EDB-D58D9B0F0136,p:P485{URIRef}
p:P4985{URIRef},s:Q9439-7C2489C8-45CD-495E-AD37-AEF3BEC7B0BB,p:P4985{URIRef}
p:P5008{URIRef},s:Q9439-1D08B4D2-495F-4CF0-A86A-064E3DEC64A4,p:P5008{URIRef}
p:P5019{URIRef},s:Q9439-8CACC2CB-0446-4CD5-98E7-E47DB7448244,p:P5019{URIRef}
p:P5034{URIRef},s:Q9439-01a2f2a8-5fa6-4155-b991-caf7c71d89c1,p:P5034{URIRef}
p:P5063{URIRef},s:Q9439-29356483-9192-46CC-8F96-5F7C6A12B473,p:P5063{URIRef}
p:P509{URIRef},s:Q9439-23BA6716-9BC4-47E0-BA74-C64DB6A084F3,p:P509{URIRef}
p:P511{URIRef}[0],s:Q9439-1ae2e93c-4c95-9975-8dc4-a3d0d8854a3c,p:P511{URIRef}[0]
p:P511{URIRef}[1],s:Q9439-cea431f9-4cc2-c088-4139-6c235477407d,p:P511{URIRef}[1]
p:P5298{URIRef},s:Q9439-973210AF-C635-4F9C-B54F-44555B2A54AF,p:P5298{URIRef}
p:P53{URIRef},s:Q9439-8cc84468-4517-88fc-afbf-dd583a70d18f,p:P53{URIRef}
p:P535{URIRef},s:Q9439-c7a92d22-4733-7fb9-6268-684e6be6e1f2,p:P535{URIRef}
p:P5395{URIRef},s:Q9439-DC0F2FCD-8EF0-4C6E-93A0-E777ADECED75,p:P5395{URIRef}
p:P5421{URIRef},s:Q9439-9B564410-1D0F-43C0-B2F9-7C03DDACDDCF,p:P5421{URIRef}
p:P5504{URIRef},s:Q9439-3BC58ADA-EF08-4C64-B146-B3CFA6F5CF14,p:P5504{URIRef}
p:P551{URIRef}[0],s:Q9439-14d5552f-482d-ace3-d87e-a7b897319217,p:P551{URIRef}[0]
p:P551{URIRef}[1],s:Q9439-38d662be-4ba9-2941-8e16-7207afd3c8b6,p:P551{URIRef}[1]
p:P551{URIRef}[2],s:Q9439-585AEC41-36CA-4609-A0E2-96833A3BAD1C,p:P551{URIRef}[2]
p:P551{URIRef}[3],s:Q9439-9e1d871e-49e5-5487-e061-9baf619c81d1,p:P551{URIRef}[3]
p:P5587{URIRef},s:Q9439-41ABE530-C1DD-44D3-B201-A43C167AADA5,p:P5587{URIRef}
p:P569{URIRef},s:q9439-37A1316B-9914-4C37-8181-B4CA03EC3BF2,p:P569{URIRef}
p:P570{URIRef},s:q9439-675D5C03-A280-4BC5-B6C0-FDE1AA0E9D2C,p:P570{URIRef}
p:P5731{URIRef},s:Q9439-CB081739-57A3-47C7-A35B-B965B891FB24,p:P5731{URIRef}
p:P5905{URIRef},s:Q9439-45DA1706-D76D-4152-B3C0-BACBBB1FCA03,p:P5905{URIRef}
p:P6379{URIRef}[0],s:Q9439-08B0E099-328F-4BD5-866D-049C9292B078,p:P6379{URIRef}[0]
p:P6379{URIRef}[1],s:Q9439-ADEBF189-455E-4FCD-8B19-367BEA52DC2A,p:P6379{URIRef}[1]
p:P6379{URIRef}[2],s:Q9439-F76A777B-96A9-438B-AC01-B82E5D49635B,p:P6379{URIRef}[2]
p:P6379{URIRef}[3],s:Q9439-F831FFBB-D0C5-4AB0-A0B7-774BBD0EF175,p:P6379{URIRef}[3]
p:P6385{URIRef},s:Q9439-10309999-488d-8b4b-ce95-e33464345ca1,p:P6385{URIRef}
p:P6394{URIRef},s:q9439-dd4a5fa4-4f71-b09c-bb03-9bb245b876b8,p:P6394{URIRef}
p:P6404{URIRef},s:Q9439-9B1935D2-4C46-4138-82E8-686C8A79599B,p:P6404{URIRef}
p:P646{URIRef},s:Q9439-73345F31-3AC8-433D-B383-D127E4BE4E5C,p:P646{URIRef}
p:P648{URIRef},s:Q9439-EEF4167E-0EC3-484E-90AC-57E1214AD45E,p:P648{URIRef}
p:P650{URIRef},s:Q9439-292E815A-CFE6-416D-A2EC-F45F35E3729B,p:P650{URIRef}
p:P6578{URIRef},s:Q9439-6620D800-59F7-4DFC-A649-C2FF2CD6C589,p:P6578{URIRef}
p:P6698{URIRef},s:Q9439-AEAF10CF-CBA2-4472-90DA-0BEB3EDC291C,p:P6698{URIRef}
p:P6706{URIRef},s:Q9439-278F913E-279B-499D-985B-AF6C22415EC6,p:P6706{URIRef}
p:P6722{URIRef},s:Q9439-8408C6B1-F760-441D-BFAD-218DD0801ABD,p:P6722{URIRef}
p:P6745{URIRef},s:Q9439-DDA47E37-56D7-468D-B25B-842EF21513B8,p:P6745{URIRef}
p:P6821{URIRef},s:Q9439-01D2833C-D576-41C1-9DC6-0E7C39339CF8,p:P6821{URIRef}
p:P6886{URIRef},s:Q9439-29661778-0904-4FAB-ABFF-1BF0DA051CEB,p:P6886{URIRef}
p:P691{URIRef},s:q9439-8D8454F7-4BF1-46F8-B81F-D1E6F66C9701,p:P691{URIRef}
p:P7029{URIRef},s:q9439-1c992820-480d-2719-6289-bffc6fb436ee,p:P7029{URIRef}
p:P7293{URIRef},s:Q9439-DE825104-C563-40A9-94F3-2EDFC1A9559C,p:P7293{URIRef}
p:P7305{URIRef},s:Q9439-6FFE19F7-13D0-46F4-8322-85C638863DFC,p:P7305{URIRef}
p:P7349{URIRef},s:Q9439-74128F2C-20DF-4321-A312-F478AE378D81,p:P7349{URIRef}
p:P735{URIRef}[0],s:Q9439-7c05c619-4b14-9b62-9ed9-ab3b45947390,p:P735{URIRef}[0]
p:P735{URIRef}[1],s:Q9439-de08a1c7-4f6f-a50f-2baa-1d395f5c6e85,p:P735{URIRef}[1]
p:P7369{URIRef},s:q9439-a20fa893-40a3-c751-1ceb-e0f2152bb719,p:P7369{URIRef}
p:P7444{URIRef},s:Q9439-8F68BF02-E6F7-46B4-B5AF-6AD020AD1CFF,p:P7444{URIRef}
p:P7578{URIRef},s:Q9439-E0DC9905-75D9-47AA-8E5D-357056AE6803,p:P7578{URIRef}
p:P7699{URIRef},s:q9439-b8c09209-4ad4-4105-8607-9d27f98b6860,p:P7699{URIRef}
p:P7763{URIRef},s:Q9439-bd95710d-56fa-4857-a0dd-966e823d78f1,p:P7763{URIRef}
p:P7848{URIRef},s:Q9439-31F99FE9-156B-4C10-B254-EB67FE12C7A3,p:P7848{URIRef}
p:P7859{URIRef},s:Q9439-EB06C977-37B2-44CF-BE68-A90FCBFFB5E1,p:P7859{URIRef}
p:P7902{URIRef},s:Q9439-DA562254-BCE0-4DB2-BA68-898DAAFD7837,p:P7902{URIRef}
p:P793{URIRef},s:Q9439-4296aaef-4ea6-f426-2295-f20c62e9c539,p:P793{URIRef}
p:P7982{URIRef},s:Q9439-B13668D4-373D-4C74-A9E2-D7698D8DC13F,p:P7982{URIRef}
p:P8034{URIRef},s:Q9439-0BA854EB-02F5-4875-92FB-13CC98B94C46,p:P8034{URIRef}
p:P8050{URIRef},s:Q9439-9B73873E-7E12-4B16-A1FD-BEC8859AD941,p:P8050{URIRef}
p:P8168{URIRef},s:Q9439-521023CC-F80C-41A4-939E-563C6317FAD7,p:P8168{URIRef}
p:P8172{URIRef},s:Q9439-B95F966A-F001-4D55-B2BF-5E4F6B2DE2B6,p:P8172{URIRef}
p:P8179{URIRef},s:q9439-c3baa311-4084-9c85-1df2-90aee63bbcb7,p:P8179{URIRef}
p:P8189{URIRef},s:Q9439-41C6E995-7727-4013-A5F6-F24204DFF5E8,p:P8189{URIRef}
p:P8313{URIRef},s:Q9439-ED58F352-D04C-482E-8FAD-EB36871E61B3,p:P8313{URIRef}
p:P8317{URIRef},s:Q9439-8DD0DF27-1D0C-4302-9C47-5153286E905C,p:P8317{URIRef}
p:P8408{URIRef},s:Q9439-E03C9FF2-4012-40BD-9C04-9DA9B4353599,p:P8408{URIRef}
p:P85{URIRef},s:Q9439-8485AA09-3142-4BFF-A9CB-71B68D32079E,p:P85{URIRef}
p:P8589{URIRef},s:Q9439-D5CA5433-EE2A-475F-9C14-EDDA4132606D,p:P8589{URIRef}
p:P8750{URIRef},s:Q9439-FA1BECAE-86D6-4348-BA51-427418A97241,p:P8750{URIRef}
p:P8783{URIRef},s:Q9439-A0659697-C6E4-40EE-AAAA-C84B363F708A,p:P8783{URIRef}
p:P8795{URIRef},s:Q9439-111D0835-0C14-47B8-8F50-1999354213C6,p:P8795{URIRef}
p:P8814{URIRef},s:Q9439-4A06E8C0-F204-45CC-9412-5D956C6008BA,p:P8814{URIRef}
p:P8826{URIRef},s:Q9439-7C08415D-0188-450F-A6E4-A5C0339D282E,p:P8826{URIRef}
p:P8851{URIRef},s:Q9439-073C38DB-E8C6-4C2C-821E-874791FF0DDB,p:P8851{URIRef}
p:P8902{URIRef},s:Q9439-3867D0BD-4467-4B78-8920-57A5C4E3C199,p:P8902{URIRef}
p:P8947{URIRef},s:Q9439-4923D1BA-F161-4DEF-9042-CAB7F5817290,p:P8947{URIRef}
p:P8980{URIRef},s:Q9439-4D61EB4C-63B2-4A95-9CF4-88FE90FB6964,p:P8980{URIRef}
p:P9037{URIRef},s:Q9439-9237F11C-55E6-4D9A-8D8F-1203EAA0BCE0,p:P9037{URIRef}
p:P906{URIRef},s:Q9439-EC1983BA-0863-401D-8AA5-D59D9A96475B,p:P906{URIRef}
p:P910{URIRef},s:Q9439-E5904F06-D52D-4E3D-BCA4-26F930025733,p:P910{URIRef}
p:P9223{URIRef},s:Q9439-3898865E-0D50-45DF-A837-78019A61097D,p:P9223{URIRef}
p:P935{URIRef},s:Q9439-9210856C-3D05-446D-849C-E35F0D21D457,p:P935{URIRef}
p:P9371{URIRef},s:Q9439-114EF95F-AE3B-45F9-B18A-DC52C41E315A,p:P9371{URIRef}
p:P94{URIRef},s:Q9439-d7a46ecf-41bb-d371-fe21-691cb14525cb,p:P94{URIRef}
p:P949{URIRef},s:Q9439-F3E525BB-4E5C-491A-8E97-17891BB291E9,p:P949{URIRef}
p:P9493{URIRef},s:Q9439-01FFB6D3-7F99-4079-8B9E-F5D5D1795922,p:P9493{URIRef}
p:P9495{URIRef},s:Q9439-A96AB80C-AE78-4DA4-9509-59F97C316066,p:P9495{URIRef}
p:P950{URIRef},s:Q9439-28BCE81B-DFF3-4001-AB87-8A221421E768,p:P950{URIRef}
p:P9534{URIRef},s:Q9439-E1B060F9-594A-417E-814B-E4C7B16994DF,p:P9534{URIRef}
p:P97{URIRef}[0],s:Q9439-20748231-AFBB-4847-B290-9245086A471A,p:P97{URIRef}[0]
p:P97{URIRef}[1],s:Q9439-8c4219ea-7051-471e-a56f-b5088bd7d3ec,p:P97{URIRef}[1]
p:P97{URIRef}[2],s:Q9439-9cb88e5e-4f3d-c995-73c2-5bf44b51ed96,p:P97{URIRef}[2]
p:P989{URIRef},s:Q9439-2FF52A26-ACF8-48D6-910A-460AA8249B6A,p:P989{URIRef}
p:P9943{URIRef},s:Q9439-CC2F2461-8277-4440-AE05-2B940B13DFA7,p:P9943{URIRef}
p:P9984{URIRef},s:Q9439-C00B2257-C0C3-4D49-8375-D1F655CF43D8,p:P9984{URIRef}
wdtn:P1006{URIRef},http://data.bibliotheken.nl/id/thes/p070185115,wdtn:P1006{URIRef}
wdtn:P1260{URIRef},http://kulturarvsdata.se/LSH/agents/31574,wdtn:P1260{URIRef}
wdtn:P1617{URIRef},http://www.bbc.co.uk/things/1efbf3e5-b330-49a1-b531-b507ab027c96#id,wdtn:P1617{URIRef}
wdtn:P1741{URIRef},http://data.beeldengeluid.nl/gtaa/165400,wdtn:P1741{URIRef}
wdtn:P1795{URIRef},http://edan.si.edu/saam/id/person-institution/5149,wdtn:P1795{URIRef}
wdtn:P1871{URIRef},http://thesaurus.cerl.org/record/cnp00396790,wdtn:P1871{URIRef}
wdtn:P1938{URIRef},http://www.gutenberg.org/ebooks/author/9035,wdtn:P1938{URIRef}
wdtn:P214{URIRef},http://viaf.org/viaf/95738652,wdtn:P214{URIRef}
wdtn:P2163{URIRef},http://id.worldcat.org/fast/31183,wdtn:P2163{URIRef}
wdtn:P227{URIRef},https://d-nb.info/gnd/118626876,wdtn:P227{URIRef}
wdtn:P244{URIRef},https://id.loc.gov/authorities/names/n79017983,wdtn:P244{URIRef}
wdtn:P245{URIRef},http://vocab.getty.edu/ulan/500022428,wdtn:P245{URIRef}
wdtn:P268{URIRef},http://data.bnf.fr/ark:/12148/cb11928202f#about,wdtn:P268{URIRef}
wdtn:P269{URIRef},http://www.idref.fr/027448207/id,wdtn:P269{URIRef}
wdtn:P2950{URIRef},http://nomisma.org/id/queen_victoria,wdtn:P2950{URIRef}
wdtn:P3348{URIRef},http://data.nlg.gr/resource/authority/record44766,wdtn:P3348{URIRef}
wdtn:P349{URIRef},http://id.ndl.go.jp/auth/ndlna/00621601,wdtn:P349{URIRef}
wdtn:P434{URIRef},http://musicbrainz.org/artist/7db5c493-38e5-41c7-9518-f3b8332a5ff7,wdtn:P434{URIRef}
wdtn:P5034{URIRef},http://lod.nl.go.kr/resource/KAC201620212,wdtn:P5034{URIRef}
wdtn:P5063{URIRef},http://globalwordnet.org/ili/i97297,wdtn:P5063{URIRef}
wdtn:P5504{URIRef},http://data.rism.info/id/rismid/pe30026818,wdtn:P5504{URIRef}
wdtn:P5587{URIRef},https://libris.kb.se/1zcfg5fk451525m,wdtn:P5587{URIRef}
wdtn:P646{URIRef},http://g.co/kg/m/0cw10,wdtn:P646{URIRef}
wdtn:P648{URIRef},http://openlibrary.org/works/OL343963A,wdtn:P648{URIRef}
wdtn:P650{URIRef},https://data.rkd.nl/artists/80887,wdtn:P650{URIRef}
wdtn:P6698{URIRef},https://jpsearch.go.jp/entity/chname/%E3%83%B4%E3%82%A3%E3%82%AF%E3%83%88%E3%83%AA%E3%82%A2%E5%A5%B3%E7%8E%8B,wdtn:P6698{URIRef}
wdtn:P6821{URIRef},http://www.alvin-portal.org/alvin/view.jsf?pid=alvin-person:20426,wdtn:P6821{URIRef}
wdtn:P7444{URIRef},https://id.rijksmuseum.nl/310118193,wdtn:P7444{URIRef}
wdtn:P8172{URIRef},https://www.sejm-wielki.pl/b/dw.8872,wdtn:P8172{URIRef}
wdtn:P8408{URIRef},http://kbpedia.org/kko/rc/QueenVictoria,wdtn:P8408{URIRef}
wdtn:P8980{URIRef},https://urn.fi/URN:NBN:fi:au:finaf:000120100,wdtn:P8980{URIRef}
wdtn:P906{URIRef},http://libris.kb.se/resource/auth/205997,wdtn:P906{URIRef}
wdtn:P950{URIRef},http://datos.bne.es/resource/XX979643,wdtn:P950{URIRef}
wdt:P10018{Literal},91768,wdt:P10018{Literal}
wdt:P1006{Literal},070185115,wdt:P1006{Literal}
wdt:P10242{Literal},05975/eu_v_0333/v0333,wdt:P10242{Literal}
wdt:P10297{Literal},m0cw10,wdt:P10297{Literal}
wdt:P1038{URIRef},wd:Q7421624,wdt:P1038{URIRef}
wdt:P1050{URIRef},wd:Q134003,wdt:P1050{URIRef}
