@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,ulan:500272240,wd:Q692,http://dbpedia.org/resource/William_Shakespeare_x,bn:s00008556n,http://dbpedia.org/resource/William_Shakespeare_y
42,"Shekspīʼar, Viliyam, 1564-1616","Shekspīʼar, Viliyam, 1564-1616","Shekspīʼar, Viliyam, 1564-1616",,,,,,
43,"Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616",,,,,,
44,"Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616",,,,,,
45,"Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616",,,,,,
46,"Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616",,,,,,
47,"Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616",,,,,,
48,"Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616",,,,,,
49,"Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616",,,,,,
50,"Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616",,,,,,
51,"Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616",,,,,,
52,"Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616",,,,,,
53,"Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616",,,,,,
54,"Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616",,,,,,
55,"Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616",,,,,,
56,"Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616",,,,,,
57,"Szekspir, William, 1564-1616","Szekspir, William, 1564-1616","Szekspir, William, 1564-1616",,,,,,
58,"Szekspir, William, 1564-1616","Szekspir, William, 1564-1616","Szekspir, William, 1564-1616",,,,,,
59,"Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616",,,,,,
60,"Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616",,,,,,
61,"Śeksper, 1564-1616","Śeksper, 1564-1616","Śeksper, 1564-1616",,,,,,
62,"Śeksper, 1564-1616","Śeksper, 1564-1616","Śeksper, 1564-1616",,,,,,
63,"Şekspir, 1564-1616","Şekspir, 1564-1616","Şekspir, 1564-1616",,,,,,
64,"Şekspir, 1564-1616","Şekspir, 1564-1616","Şekspir, 1564-1616",,,,,,
65,"Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616",,,,,,
66,"Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616",,,,,,
67,"Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616",,,,,,
68,"Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616",,,,,,
69,"Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616",,,,,,
70,"Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616",,,,,,
71,"Šekspyras, 1564-1616","Šekspyras, 1564-1616","Šekspyras, 1564-1616",,,,,,
72,"Šekspyras, 1564-1616","Šekspyras, 1564-1616","Šekspyras, 1564-1616",,,,,,
73,"Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616",,,,,,
74,"Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616",,,,,,
75,"Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616",,,,,,
76,"Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616",,,,,,
77,"Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616",,,,,,
78,"Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616",,,,,,
79,"Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616",,,,,,
80,"Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616",,,,,,
81,"Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616",,,,,,
82,"Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616",,,,,,
83,"Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616",,,,,,
84,"Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616","Ṣēkspiyar, Villiyam, 1564-1616",,,,,,
85,http://id.loc.gov/authorities/names/n78095332,http://id.loc.gov/authorities/names/n78095332,http://id.loc.gov/authorities/names/n78095332,http://id.loc.gov/authorities/names/n78095332,http://id.loc.gov/authorities/names/n78095332,,,,
86,https://viaf.org/viaf/96994048,https://viaf.org/viaf/96994048,,,,,,,
87,schema:Person,schema:Person,,schema:Person,,,schema:Person,,
88,http://en.wikipedia.org/wiki/William_Shakespeare,http://en.wikipedia.org/wiki/William_Shakespeare,,,,,http://en.wikipedia.org/wiki/William_Shakespeare,,http://en.wikipedia.org/wiki/William_Shakespeare
89,http://id.worldcat.org/fast/ontology/1.0/#facet-Personal,http://id.worldcat.org/fast/ontology/1.0/#facet-Personal,,,,,,,
90,http://id.worldcat.org/fast/ontology/1.0/#fast,http://id.worldcat.org/fast/ontology/1.0/#fast,,,,,,,
91,http://id.worldcat.org/fast/29048,http://id.worldcat.org/fast/29048,http://id.worldcat.org/fast/29048,,,http://id.worldcat.org/fast/29048,,,
92,,N305dd172a7994780bd9aa2454d040835,N305dd172a7994780bd9aa2454d040835,,,,,,
93,,madsrdf:Authority,madsrdf:Authority,,,,,,
94,,madsrdf:PersonalName,madsrdf:PersonalName,,,,,,
95,,skos:Concept,skos:Concept,,skos:Concept,,,skos:Concept,
96,,n 78095332,n 78095332,,,,,,
97,,(OCoLC)oca00230409,(OCoLC)oca00230409,,,,,,
98,,N254867a6c1ae47d9a81d19ec9184dae7,N254867a6c1ae47d9a81d19ec9184dae7,,,,,,
99,,N2bd3dbccb3ef40e2937ad67958e20798,N2bd3dbccb3ef40e2937ad67958e20798,,,,,,
100,,N2e4afacfb2f54d3285f5209a4d5d87bb,N2e4afacfb2f54d3285f5209a4d5d87bb,,,,,,
101,,[Machine-derived non-Latin script reference project.],[Machine-derived non-Latin script reference project.],,,,,,
102,,[Non-Latin script references not evaluated.],[Non-Latin script references not evaluated.],,,,,,
103,,http://vocab.getty.edu/ulan/500272240,http://vocab.getty.edu/ulan/500272240,,,http://vocab.getty.edu/ulan/500272240,,,
104,,http://www.wikidata.org/entity/Q692,http://www.wikidata.org/entity/Q692,http://www.wikidata.org/entity/Q692,,,http://www.wikidata.org/entity/Q692,,http://www.wikidata.org/entity/Q692
105,,http://viaf.org/viaf/sourceID/LC%7Cn++78095332#skos:Concept,http://viaf.org/viaf/sourceID/LC%7Cn++78095332#skos:Concept,,,,,,
106,,N0eadb0a81b8f4d0a976389293ca4e9c3,N0eadb0a81b8f4d0a976389293ca4e9c3,,,,,,
107,,N143aa0d9c5874d63b68e8cfff19bbc85,N143aa0d9c5874d63b68e8cfff19bbc85,,,,,,
108,,N15dbae454be541daa5f8f0396475e8e2,N15dbae454be541daa5f8f0396475e8e2,,,,,,
109,,N2a2aa5026bc64b999c369497f39be6b9,N2a2aa5026bc64b999c369497f39be6b9,,,,,,
110,,N2f26f747f12d4e19b53a83d2113a6dde,N2f26f747f12d4e19b53a83d2113a6dde,,,,,,
111,,N43e538c856e7437c94c2ac06f10c6946,N43e538c856e7437c94c2ac06f10c6946,,,,,,
112,,N606480db8ab64665bbe966ec13f7e971,N606480db8ab64665bbe966ec13f7e971,,,,,,
113,,N6f9bada267e7461ca88456dddab62ce7,N6f9bada267e7461ca88456dddab62ce7,,,,,,
114,,N77bac64d5e3c48509d77efcf4a8862fd,N77bac64d5e3c48509d77efcf4a8862fd,,,,,,
115,,N7d7581b57e654d5cb46efdab80a9b91f,N7d7581b57e654d5cb46efdab80a9b91f,,,,,,
116,,N88ccc78b338a47c28513c6ab70c4c245,N88ccc78b338a47c28513c6ab70c4c245,,,,,,
117,,N9264332769da4415a8b84a78e6219e3f,N9264332769da4415a8b84a78e6219e3f,,,,,,
118,,N93b866ee2b044f1982b6c30e4f6ce912,N93b866ee2b044f1982b6c30e4f6ce912,,,,,,
119,,N966cba1d4e174c4faa88f610260db8bd,N966cba1d4e174c4faa88f610260db8bd,,,,,,
120,,N995d152ba5aa4cd39d56f2101fc672fb,N995d152ba5aa4cd39d56f2101fc672fb,,,,,,
121,,N99cddcdc31a74185a827f2ca42842057,N99cddcdc31a74185a827f2ca42842057,,,,,,
122,,N9c88aa6d4b2c4732895cdc105eb50901,N9c88aa6d4b2c4732895cdc105eb50901,,,,,,
123,,N9eeafa9f38ce4c28ac52861d7899c75d,N9eeafa9f38ce4c28ac52861d7899c75d,,,,,,
124,,Na1c7ccf6379c489db94583fc24e5dbf0,Na1c7ccf6379c489db94583fc24e5dbf0,,,,,,
125,,Nab4c0f8e039d4076bcbf7da662270862,Nab4c0f8e039d4076bcbf7da662270862,,,,,,
126,,Nc4ee3330c6fa41a49a7fd7cebed91959,Nc4ee3330c6fa41a49a7fd7cebed91959,,,,,,
127,,Nc6f4fee0c64448adb6e791d1f3b490c5,Nc6f4fee0c64448adb6e791d1f3b490c5,,,,,,
128,,Nd04665f4aa13479784edef2347fc2c47,Nd04665f4aa13479784edef2347fc2c47,,,,,,
129,,Nd1f7751ed2284fed89caf292d32ef875,Nd1f7751ed2284fed89caf292d32ef875,,,,,,
130,,Nd4acd3a826274de5a4618dfa25b4a9f1,Nd4acd3a826274de5a4618dfa25b4a9f1,,,,,,
131,,Nd71cef31844d41908033be4502c9cabe,Nd71cef31844d41908033be4502c9cabe,,,,,,
132,,Ne5b3c9731b7f40feb1c34ed738ba08c8,Ne5b3c9731b7f40feb1c34ed738ba08c8,,,,,,
133,,Ne62995d75c374eadbee2d6ed7cf305db,Ne62995d75c374eadbee2d6ed7cf305db,,,,,,
134,,Neea0dcfb495e4409934a92768b462933,Neea0dcfb495e4409934a92768b462933,,,,,,
135,,Nf8619131eaa942d68f5d8b39fbf30099,Nf8619131eaa942d68f5d8b39fbf30099,,,,,,
136,,Nf866a4caa484464d8bafa34f0b6066cc,Nf866a4caa484464d8bafa34f0b6066cc,,,,,,
137,,N01d87d524eca4e26b3b74051f3487e5b,N01d87d524eca4e26b3b74051f3487e5b,,,,,,
138,,N031098a4ed8a4f6582c4b1a66c2bbf6b,N031098a4ed8a4f6582c4b1a66c2bbf6b,,,,,,
139,,N040e2be1ca0348bf9038bc0b7243c0a7,N040e2be1ca0348bf9038bc0b7243c0a7,,,,,,
140,,N07be4f9b923a4751926014747a6052e8,N07be4f9b923a4751926014747a6052e8,,,,,,
141,,N0c7ce34c0fee47faa4a151232eee876f,N0c7ce34c0fee47faa4a151232eee876f,,,,,,
142,,N0d665d6a93aa4ca4b18d6fbb234d0461,N0d665d6a93aa4ca4b18d6fbb234d0461,,,,,,
143,,N1229bb31483e43cfaa8e0f749415b616,N1229bb31483e43cfaa8e0f749415b616,,,,,,
144,,N1344dc636db444ad8c9410f439739e0d,N1344dc636db444ad8c9410f439739e0d,,,,,,
145,,N1a87f9de3dfb4558b1beb40cb14c7475,N1a87f9de3dfb4558b1beb40cb14c7475,,,,,,
146,,N1c7cc0137c5344e68a0d370d0a54619d,N1c7cc0137c5344e68a0d370d0a54619d,,,,,,
147,,N258e649fc8ae4e58ad2a6130c42000d0,N258e649fc8ae4e58ad2a6130c42000d0,,,,,,
148,,N25fcb0b8c2cb4d20aff83fa95bdaa9ab,N25fcb0b8c2cb4d20aff83fa95bdaa9ab,,,,,,
149,,N261adc9ef4f74fb0bd8a02c65a87cc68,N261adc9ef4f74fb0bd8a02c65a87cc68,,,,,,
150,,N2c42a630d4eb4d1f954c2eb9b3c1e74b,N2c42a630d4eb4d1f954c2eb9b3c1e74b,,,,,,
151,,N2e4555881de84d52938bddc21d767e78,N2e4555881de84d52938bddc21d767e78,,,,,,
152,,N2f17bbc774114c02acf2e662987aa365,N2f17bbc774114c02acf2e662987aa365,,,,,,
153,,N2f38c292245441468149738f02d48bdb,N2f38c292245441468149738f02d48bdb,,,,,,
154,,N2fab8a5de8114238a414a277c2999790,N2fab8a5de8114238a414a277c2999790,,,,,,
155,,N303c8ad8933f4eda8e74716c005f53e9,N303c8ad8933f4eda8e74716c005f53e9,,,,,,
156,,N34c619e6f98e4c9abeb5c6a84df2e7ee,N34c619e6f98e4c9abeb5c6a84df2e7ee,,,,,,
157,,N36401e34d9e5418ba7f7f0be2f18c67b,N36401e34d9e5418ba7f7f0be2f18c67b,,,,,,
158,,N37f21512ddb840848f237ac59348c16f,N37f21512ddb840848f237ac59348c16f,,,,,,
159,,N39f4e99f05cc4c51a62bf307be45c125,N39f4e99f05cc4c51a62bf307be45c125,,,,,,
160,,N3d2338b8e7a3451dbcd118d29b7a0110,N3d2338b8e7a3451dbcd118d29b7a0110,,,,,,
161,,N3d7d9a7236b24884bb8b0cb4ac919a6b,N3d7d9a7236b24884bb8b0cb4ac919a6b,,,,,,
162,,N41e43dbe273649c7b771dd078cdf04ce,N41e43dbe273649c7b771dd078cdf04ce,,,,,,
163,,N432d208517b4440bb57d1b8be7bfb1ea,N432d208517b4440bb57d1b8be7bfb1ea,,,,,,
164,,N4a2349aab0f8409fac05cee5f07d905d,N4a2349aab0f8409fac05cee5f07d905d,,,,,,
165,,N4b156b682d8e488abe37b5090da69d66,N4b156b682d8e488abe37b5090da69d66,,,,,,
166,,N4d1fc9850c9c4008b2fbfaeabff996b2,N4d1fc9850c9c4008b2fbfaeabff996b2,,,,,,
167,,N4f374fc3c50e4bcb892e52c3e644773f,N4f374fc3c50e4bcb892e52c3e644773f,,,,,,
168,,N4fb9c8d2893943ffb583f96c66c6c992,N4fb9c8d2893943ffb583f96c66c6c992,,,,,,
169,,N5e6457a4c8bf49ce9c8783de465498a4,N5e6457a4c8bf49ce9c8783de465498a4,,,,,,
170,,N658f4d8cacf54f1ab7c355913d765ea0,N658f4d8cacf54f1ab7c355913d765ea0,,,,,,
171,,N6aa33ef6ab63426585420ce06ddc1ece,N6aa33ef6ab63426585420ce06ddc1ece,,,,,,
172,,N6b18856518c1434590d28f5b4e6a2ace,N6b18856518c1434590d28f5b4e6a2ace,,,,,,
173,,N6cfd1c27002643e4b6cb3e409e674a77,N6cfd1c27002643e4b6cb3e409e674a77,,,,,,
174,,N6e59edfb45dc4495aecd9a7e5ed80e16,N6e59edfb45dc4495aecd9a7e5ed80e16,,,,,,
175,,N7dd1a5c597a249cbbf75afbb82a59922,N7dd1a5c597a249cbbf75afbb82a59922,,,,,,
176,,N8015a3acd758497e8ea892c83f7e4165,N8015a3acd758497e8ea892c83f7e4165,,,,,,
177,,N8048fa2fc30a494db3d5f087ead54a51,N8048fa2fc30a494db3d5f087ead54a51,,,,,,
178,,N82e1729ed9c945cba8660e86452aaeb7,N82e1729ed9c945cba8660e86452aaeb7,,,,,,
179,,N8423931cd8c24468aeaa89bbaae2003f,N8423931cd8c24468aeaa89bbaae2003f,,,,,,
180,,N85c5b8cabfd0463781b09408907e8770,N85c5b8cabfd0463781b09408907e8770,,,,,,
181,,N866a7888d5854b558cc4a5fad2f344ff,N866a7888d5854b558cc4a5fad2f344ff,,,,,,
182,,N885ce67b8db74844956296e46f5f18a1,N885ce67b8db74844956296e46f5f18a1,,,,,,
183,,N8ce417b492e544cab9770328cd985c34,N8ce417b492e544cab9770328cd985c34,,,,,,
184,,N8d1de11c84254a2190fa8154385c3ed0,N8d1de11c84254a2190fa8154385c3ed0,,,,,,
185,,N92316fda291947a78e9aa5d298e8d2f1,N92316fda291947a78e9aa5d298e8d2f1,,,,,,
186,,N9c12652072ca42bbbfbfb8a410aece35,N9c12652072ca42bbbfbfb8a410aece35,,,,,,
187,,N9d984bf3ed7f45259eec275c6533fded,N9d984bf3ed7f45259eec275c6533fded,,,,,,
188,,N9e2c974697eb42ac9f6a92fb1730600d,N9e2c974697eb42ac9f6a92fb1730600d,,,,,,
189,,Na2704dbffae642fd87df6fbbdb1dd51f,Na2704dbffae642fd87df6fbbdb1dd51f,,,,,,
190,,Na42bc14a072044129e6a21e18465de83,Na42bc14a072044129e6a21e18465de83,,,,,,
191,,Nab64e6e6d3f64b36bfd147b3e6087259,Nab64e6e6d3f64b36bfd147b3e6087259,,,,,,
192,,Nae7e661535a54aad9ae10212ce610c58,Nae7e661535a54aad9ae10212ce610c58,,,,,,
193,,Naf968b49fc604828aa7b19b711e80b0a,Naf968b49fc604828aa7b19b711e80b0a,,,,,,
194,,Nafe5973961ef4b6695131fafba1acf22,Nafe5973961ef4b6695131fafba1acf22,,,,,,
195,,Nb06d2ad9ef7b41f798d61487cb846424,Nb06d2ad9ef7b41f798d61487cb846424,,,,,,
196,,Nb1f3ebd1759a4394839208160d72d086,Nb1f3ebd1759a4394839208160d72d086,,,,,,
197,,Nb7e2f5bd1cea4b83ba4cf07a7e5ea35a,Nb7e2f5bd1cea4b83ba4cf07a7e5ea35a,,,,,,
198,,Nb9878bd543044e16980a76ade614ea79,Nb9878bd543044e16980a76ade614ea79,,,,,,
199,,Nbb644844f9454a4795cc1912400d344f,Nbb644844f9454a4795cc1912400d344f,,,,,,
200,,Nbc5eaa16bfd9482b81d7335f261520f0,Nbc5eaa16bfd9482b81d7335f261520f0,,,,,,
201,,Nc074c17a186b49f6ab39363af5e295e5,Nc074c17a186b49f6ab39363af5e295e5,,,,,,
202,,Nc2f16d87fd12435d9c3e91a3b0a1bb11,Nc2f16d87fd12435d9c3e91a3b0a1bb11,,,,,,
203,,Nc3de3bf071ff4ebfbf58e6d534579461,Nc3de3bf071ff4ebfbf58e6d534579461,,,,,,
204,,Nc42a3aac09a145608859b2bf54751e21,Nc42a3aac09a145608859b2bf54751e21,,,,,,
205,,Nc50cbe4dac9441c0803d27137ebfe68f,Nc50cbe4dac9441c0803d27137ebfe68f,,,,,,
206,,Nc647c990d5f848829697410e92589cc5,Nc647c990d5f848829697410e92589cc5,,,,,,
207,,Nc971a88c58384eea90fc25d7e47727bd,Nc971a88c58384eea90fc25d7e47727bd,,,,,,
208,,Ncb46cc30ddd741ef8872441a83a9ddb8,Ncb46cc30ddd741ef8872441a83a9ddb8,,,,,,
209,,Ncb7fb713b3e844988be8d36c7fde71ae,Ncb7fb713b3e844988be8d36c7fde71ae,,,,,,
210,,Nd3a232f2ed5b48b0961758b7eea052e0,Nd3a232f2ed5b48b0961758b7eea052e0,,,,,,
211,,Nd9d10c56d73a412491029776384fa00d,Nd9d10c56d73a412491029776384fa00d,,,,,,
212,,Nda3b5e1d7a004eaf8f0832c708e51903,Nda3b5e1d7a004eaf8f0832c708e51903,,,,,,
213,,Ndc53c94e93654b7bafb1894952cbb9bf,Ndc53c94e93654b7bafb1894952cbb9bf,,,,,,
214,,Ne00a5221cd564fab803ca217dabc2c27,Ne00a5221cd564fab803ca217dabc2c27,,,,,,
215,,Ne4fd05dc2ec74f86b40a1e94452d520d,Ne4fd05dc2ec74f86b40a1e94452d520d,,,,,,
216,,Ne76f9c20b30d4273a71625fce182847b,Ne76f9c20b30d4273a71625fce182847b,,,,,,
217,,Nea120964e39a4138bd0fa7d81e057fa8,Nea120964e39a4138bd0fa7d81e057fa8,,,,,,
218,,Neab0a14fa4e44bdcb824c5adc36f3d29,Neab0a14fa4e44bdcb824c5adc36f3d29,,,,,,
219,,Nefa0819499ae4a8ebdc4219ed7c412fa,Nefa0819499ae4a8ebdc4219ed7c412fa,,,,,,
220,,Nfa220a5205bc4c9ab4d580f680bf34a3,Nfa220a5205bc4c9ab4d580f680bf34a3,,,,,,
221,,Nfb14be7ccd7c4de0a5ca4e665f2005a6,Nfb14be7ccd7c4de0a5ca4e665f2005a6,,,,,,
222,,http://id.loc.gov/rwo/agents/n78095332,http://id.loc.gov/rwo/agents/n78095332,,,,,,
223,,http://id.loc.gov/authorities/names/collection_LCNAF,http://id.loc.gov/authorities/names/collection_LCNAF,,,,,,
224,,http://id.loc.gov/authorities/names/collection_NamesAuthorizedHeadings,http://id.loc.gov/authorities/names/collection_NamesAuthorizedHeadings,,,,,,
225,,http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names,,,,,,
